source,destination,timestamp
productpage-v1,details-v1,2024-03-05 09:16:01
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:01
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:01
productpage-v1,reviews-v3,2024-03-05 09:16:01
productpage-v1,reviews-v2,2024-03-05 09:16:01
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:01
productpage-v1,reviews-v1,2024-03-05 09:16:01
productpage-v1-7fb564989f-hm9g2,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:01
reviews-v3,ratings-v1,2024-03-05 09:16:01
reviews-v2,ratings-v1,2024-03-05 09:16:01
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-05 09:16:01
istio-ingressgateway,productpage-v1,2024-03-05 09:16:01
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:01
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-05 09:16:06
productpage-v1,reviews-v1,2024-03-05 09:16:06
productpage-v1-7fb564989f-hm9g2,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:06
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:06
productpage-v1,details-v1,2024-03-05 09:16:06
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:06
istio-ingressgateway,productpage-v1,2024-03-05 09:16:06
productpage-v1,reviews-v3,2024-03-05 09:16:06
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:06
reviews-v3,ratings-v1,2024-03-05 09:16:06
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:06
productpage-v1,reviews-v2,2024-03-05 09:16:06
reviews-v2,ratings-v1,2024-03-05 09:16:06
reviews-v3,ratings-v1,2024-03-05 09:16:11
productpage-v1,reviews-v1,2024-03-05 09:16:11
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:11
productpage-v1-7fb564989f-hm9g2,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:11
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:11
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-05 09:16:11
productpage-v1,details-v1,2024-03-05 09:16:11
reviews-v2,ratings-v1,2024-03-05 09:16:11
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:11
productpage-v1,reviews-v2,2024-03-05 09:16:11
productpage-v1,reviews-v3,2024-03-05 09:16:11
istio-ingressgateway,productpage-v1,2024-03-05 09:16:11
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:11
reviews-v2,ratings-v1,2024-03-05 09:16:16
istio-ingressgateway,productpage-v1,2024-03-05 09:16:16
productpage-v1,details-v1,2024-03-05 09:16:16
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:16
productpage-v1,reviews-v2,2024-03-05 09:16:16
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-05 09:16:16
productpage-v1,reviews-v3,2024-03-05 09:16:16
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:16
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:16
productpage-v1-7fb564989f-hm9g2,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:16
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:16
productpage-v1,reviews-v1,2024-03-05 09:16:16
reviews-v3,ratings-v1,2024-03-05 09:16:16
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:21
productpage-v1,details-v1,2024-03-05 09:16:21
productpage-v1,reviews-v3,2024-03-05 09:16:21
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:21
productpage-v1,reviews-v1,2024-03-05 09:16:21
productpage-v1-7fb564989f-hm9g2,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:21
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-05 09:16:21
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:21
istio-ingressgateway,productpage-v1,2024-03-05 09:16:21
reviews-v3,ratings-v1,2024-03-05 09:16:21
reviews-v2,ratings-v1,2024-03-05 09:16:21
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-05 09:16:21
productpage-v1,reviews-v2,2024-03-05 09:16:21
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:26
productpage-v1-7fb564989f-hm9g2,izbp1gwb52uyj3g0wn52lfz,2024-03-05 09:16:26
istio-ingressgateway,productpage-v1,2024-03-05 09:16:26
reviews-v3,ratings-v1,2024-03-05 09:16:26
productpage-v1,details-v1,2024-03-05 09:16:26
reviews-v2,ratings-v1,2024-03-05 09:16:26
