source,destination,timestamp
productpage-v1,details-v1,2024-03-06 01:45:03
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-06 01:45:03
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 01:45:03
productpage-v1,reviews-v3,2024-03-06 01:45:03
productpage-v1,reviews-v2,2024-03-06 01:45:03
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 01:45:03
productpage-v1,reviews-v1,2024-03-06 01:45:03
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 01:45:03
reviews-v3,ratings-v1,2024-03-06 01:45:03
reviews-v2,ratings-v1,2024-03-06 01:45:03
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 01:45:03
istio-ingressgateway,productpage-v1,2024-03-06 01:45:03
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 01:45:03
productpage-v1,reviews-v1,2024-03-06 01:45:08
ratings-v1-5b6b66f9b5-n4ddg,izbp16opgy3xucvexwqp9dz,2024-03-06 01:45:08
productpage-v1,details-v1,2024-03-06 01:45:08
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 01:45:08
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 01:45:08
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 01:45:08
reviews-v3,ratings-v1,2024-03-06 01:45:08
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 01:45:08
istio-ingressgateway,productpage-v1,2024-03-06 01:45:08
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 01:45:08
reviews-v2,ratings-v1,2024-03-06 01:45:08
productpage-v1,reviews-v3,2024-03-06 01:45:08
productpage-v1,reviews-v2,2024-03-06 01:45:08
