source,destination,timestamp
productpage-v1,details-v1,2024-03-07 17:44:04
reviews-v2,ratings-v1,2024-03-07 17:44:04
reviews-v3,ratings-v1,2024-03-07 17:44:04
productpage-v1,reviews-v1,2024-03-07 17:44:04
unknown,details-v1,2024-03-07 17:44:04
productpage-v1,reviews-v2,2024-03-07 17:44:04
productpage-v1,reviews-v3,2024-03-07 17:44:04
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:04
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:04
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:04
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:04
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:04
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:04
istio-ingressgateway,productpage-v1,2024-03-07 17:44:04
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:09
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:09
reviews-v3,ratings-v1,2024-03-07 17:44:09
reviews-v2,ratings-v1,2024-03-07 17:44:09
productpage-v1,details-v1,2024-03-07 17:44:09
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:09
unknown,details-v1,2024-03-07 17:44:09
productpage-v1,reviews-v2,2024-03-07 17:44:09
productpage-v1,reviews-v3,2024-03-07 17:44:09
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:09
istio-ingressgateway,productpage-v1,2024-03-07 17:44:09
productpage-v1,reviews-v1,2024-03-07 17:44:09
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:09
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:09
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:14
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:14
unknown,details-v1,2024-03-07 17:44:14
productpage-v1,reviews-v1,2024-03-07 17:44:14
reviews-v3,ratings-v1,2024-03-07 17:44:14
productpage-v1,reviews-v2,2024-03-07 17:44:14
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:14
reviews-v2,ratings-v1,2024-03-07 17:44:14
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:14
productpage-v1,reviews-v3,2024-03-07 17:44:14
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:14
istio-ingressgateway,productpage-v1,2024-03-07 17:44:14
productpage-v1,details-v1,2024-03-07 17:44:14
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:14
productpage-v1,reviews-v2,2024-03-07 17:44:19
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:19
unknown,details-v1,2024-03-07 17:44:19
productpage-v1,reviews-v3,2024-03-07 17:44:19
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:19
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:19
productpage-v1,reviews-v1,2024-03-07 17:44:19
istio-ingressgateway,productpage-v1,2024-03-07 17:44:19
productpage-v1,details-v1,2024-03-07 17:44:19
reviews-v2,ratings-v1,2024-03-07 17:44:19
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:19
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:19
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:19
reviews-v3,ratings-v1,2024-03-07 17:44:19
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:24
productpage-v1,reviews-v2,2024-03-07 17:44:24
productpage-v1,details-v1,2024-03-07 17:44:24
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:24
reviews-v3,ratings-v1,2024-03-07 17:44:24
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:24
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:24
productpage-v1,reviews-v3,2024-03-07 17:44:24
unknown,details-v1,2024-03-07 17:44:24
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:24
istio-ingressgateway,productpage-v1,2024-03-07 17:44:24
productpage-v1,reviews-v1,2024-03-07 17:44:24
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:24
reviews-v2,ratings-v1,2024-03-07 17:44:24
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:29
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:29
productpage-v1,reviews-v2,2024-03-07 17:44:29
istio-ingressgateway,productpage-v1,2024-03-07 17:44:29
productpage-v1,reviews-v3,2024-03-07 17:44:29
reviews-v2,ratings-v1,2024-03-07 17:44:29
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:29
productpage-v1,details-v1,2024-03-07 17:44:29
reviews-v3,ratings-v1,2024-03-07 17:44:29
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:29
unknown,details-v1,2024-03-07 17:44:29
productpage-v1,reviews-v1,2024-03-07 17:44:29
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:29
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:29
productpage-v1,reviews-v2,2024-03-07 17:44:34
productpage-v1,details-v1,2024-03-07 17:44:34
reviews-v3,ratings-v1,2024-03-07 17:44:34
istio-ingressgateway,productpage-v1,2024-03-07 17:44:34
unknown,details-v1,2024-03-07 17:44:34
productpage-v1,reviews-v1,2024-03-07 17:44:34
reviews-v2,ratings-v1,2024-03-07 17:44:34
productpage-v1,reviews-v3,2024-03-07 17:44:34
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:34
reviews-v3-5fd56449d8-xpzj4,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:34
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:34
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:34
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:34
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:34
reviews-v2-7b4f9d8cb4-rgbs6,izbp16opgy3xucvexwqp9dz,2024-03-07 17:44:39
productpage-v1,details-v1,2024-03-07 17:44:39
istio-ingressgateway,productpage-v1,2024-03-07 17:44:39
productpage-v1,reviews-v2,2024-03-07 17:44:39
productpage-v1,reviews-v1,2024-03-07 17:44:39
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-07 17:44:39
