timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2024-03-06 10:30:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:30,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:35,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:40,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:45,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:50,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:30:55,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:30,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:35,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:40,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:45,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:50,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:31:55,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:30,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:35,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:40,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:45,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:50,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:32:55,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:30,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:35,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:40,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:45,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:50,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:33:55,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:30,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:35,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:40,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:45,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:50,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:34:55,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:30,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:35,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:40,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:45,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:50,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:35:55,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:05,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:10,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:15,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:20,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:25,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 10:36:30,1.0,1.0,1.0,1.0,1.0,1.0
