source,destination,timestamp
productpage-v1,details-v1,2024-03-11 14:42:05
reviews-v2,ratings-v1,2024-03-11 14:42:05
reviews-v3,ratings-v1,2024-03-11 14:42:05
productpage-v1,reviews-v1,2024-03-11 14:42:05
unknown,details-v1,2024-03-11 14:42:05
productpage-v1,reviews-v2,2024-03-11 14:42:05
productpage-v1,reviews-v3,2024-03-11 14:42:05
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:05
reviews-v2-7b4f9d8cb4-wqfsr,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:05
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:05
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:05
reviews-v3-5fd56449d8-s5wkv,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:05
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:05
istio-ingressgateway,productpage-v1,2024-03-11 14:42:05
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:10
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:10
reviews-v3,ratings-v1,2024-03-11 14:42:10
reviews-v2,ratings-v1,2024-03-11 14:42:10
productpage-v1,details-v1,2024-03-11 14:42:10
reviews-v3-5fd56449d8-s5wkv,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:10
unknown,details-v1,2024-03-11 14:42:10
productpage-v1,reviews-v2,2024-03-11 14:42:10
productpage-v1,reviews-v3,2024-03-11 14:42:10
reviews-v2-7b4f9d8cb4-wqfsr,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:10
istio-ingressgateway,productpage-v1,2024-03-11 14:42:10
productpage-v1,reviews-v1,2024-03-11 14:42:10
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:10
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:10
reviews-v2-7b4f9d8cb4-wqfsr,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:15
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:15
unknown,details-v1,2024-03-11 14:42:15
productpage-v1,reviews-v1,2024-03-11 14:42:15
reviews-v3,ratings-v1,2024-03-11 14:42:15
productpage-v1,reviews-v2,2024-03-11 14:42:15
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:15
reviews-v2,ratings-v1,2024-03-11 14:42:15
reviews-v3-5fd56449d8-s5wkv,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:15
productpage-v1,reviews-v3,2024-03-11 14:42:15
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:15
istio-ingressgateway,productpage-v1,2024-03-11 14:42:15
productpage-v1,details-v1,2024-03-11 14:42:15
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:15
productpage-v1,reviews-v2,2024-03-11 14:42:20
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:20
unknown,details-v1,2024-03-11 14:42:20
productpage-v1,reviews-v3,2024-03-11 14:42:20
reviews-v2-7b4f9d8cb4-wqfsr,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:20
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 14:42:20
productpage-v1,reviews-v1,2024-03-11 14:42:20
istio-ingressgateway,productpage-v1,2024-03-11 14:42:20
productpage-v1,details-v1,2024-03-11 14:42:20
reviews-v2,ratings-v1,2024-03-11 14:42:20
reviews-v3-5fd56449d8-s5wkv,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:20
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:20
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 14:42:20
reviews-v3,ratings-v1,2024-03-11 14:42:20
