source,destination,timestamp
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:25
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:25
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:25
productpage-v1,reviews-v1,2024-03-11 05:55:25
istio-ingressgateway,productpage-v1,2024-03-11 05:55:30
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:30
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:30
reviews-v2,ratings-v1,2024-03-11 05:55:30
productpage-v1,reviews-v1,2024-03-11 05:55:30
productpage-v1,reviews-v3,2024-03-11 05:55:30
productpage-v1,reviews-v2,2024-03-11 05:55:30
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:30
productpage-v1,details-v1,2024-03-11 05:55:30
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:30
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:30
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:30
reviews-v3,ratings-v1,2024-03-11 05:55:30
unknown,details-v1,2024-03-11 05:55:30
productpage-v1,reviews-v2,2024-03-11 05:55:35
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:35
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:35
productpage-v1,reviews-v3,2024-03-11 05:55:35
istio-ingressgateway,productpage-v1,2024-03-11 05:55:35
reviews-v2,ratings-v1,2024-03-11 05:55:35
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:35
unknown,details-v1,2024-03-11 05:55:35
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:35
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:35
reviews-v3,ratings-v1,2024-03-11 05:55:35
productpage-v1,reviews-v1,2024-03-11 05:55:35
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:35
productpage-v1,details-v1,2024-03-11 05:55:35
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:40
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:40
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:40
reviews-v3,ratings-v1,2024-03-11 05:55:40
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:40
productpage-v1,details-v1,2024-03-11 05:55:40
productpage-v1,reviews-v1,2024-03-11 05:55:40
productpage-v1,reviews-v3,2024-03-11 05:55:40
productpage-v1,reviews-v2,2024-03-11 05:55:40
istio-ingressgateway,productpage-v1,2024-03-11 05:55:40
reviews-v2,ratings-v1,2024-03-11 05:55:40
unknown,details-v1,2024-03-11 05:55:40
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:40
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:40
productpage-v1,reviews-v1,2024-03-11 05:55:45
productpage-v1,reviews-v3,2024-03-11 05:55:45
reviews-v3,ratings-v1,2024-03-11 05:55:45
productpage-v1,details-v1,2024-03-11 05:55:45
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:45
reviews-v2,ratings-v1,2024-03-11 05:55:45
unknown,details-v1,2024-03-11 05:55:45
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:45
istio-ingressgateway,productpage-v1,2024-03-11 05:55:45
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:45
productpage-v1,reviews-v2,2024-03-11 05:55:45
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:45
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:45
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:45
productpage-v1,details-v1,2024-03-11 05:55:50
productpage-v1,reviews-v3,2024-03-11 05:55:50
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:50
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:50
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:50
reviews-v2,ratings-v1,2024-03-11 05:55:50
productpage-v1,reviews-v1,2024-03-11 05:55:50
reviews-v3,ratings-v1,2024-03-11 05:55:50
unknown,details-v1,2024-03-11 05:55:50
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:50
istio-ingressgateway,productpage-v1,2024-03-11 05:55:50
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:50
productpage-v1,reviews-v2,2024-03-11 05:55:50
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:50
unknown,details-v1,2024-03-11 05:55:55
istio-ingressgateway,productpage-v1,2024-03-11 05:55:55
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:55
productpage-v1,reviews-v2,2024-03-11 05:55:55
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:55
productpage-v1,details-v1,2024-03-11 05:55:55
reviews-v2,ratings-v1,2024-03-11 05:55:55
productpage-v1,reviews-v3,2024-03-11 05:55:55
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:55
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:55:55
productpage-v1,reviews-v1,2024-03-11 05:55:55
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:55
reviews-v3,ratings-v1,2024-03-11 05:55:55
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:55:55
reviews-v2,ratings-v1,2024-03-11 05:56:00
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:00
productpage-v1,reviews-v1,2024-03-11 05:56:00
productpage-v1,details-v1,2024-03-11 05:56:00
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:56:00
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:00
productpage-v1,reviews-v3,2024-03-11 05:56:00
productpage-v1,reviews-v2,2024-03-11 05:56:00
reviews-v3,ratings-v1,2024-03-11 05:56:00
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:00
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:56:00
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:00
unknown,details-v1,2024-03-11 05:56:00
istio-ingressgateway,productpage-v1,2024-03-11 05:56:00
reviews-v2,ratings-v1,2024-03-11 05:56:05
productpage-v1,reviews-v3,2024-03-11 05:56:05
reviews-v1-7b76c4f45d-phxww,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:05
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:05
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:56:05
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:56:05
istio-ingressgateway,productpage-v1,2024-03-11 05:56:05
productpage-v1,details-v1,2024-03-11 05:56:05
reviews-v2-7b4f9d8cb4-prbfv,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:05
productpage-v1,reviews-v2,2024-03-11 05:56:05
productpage-v1,reviews-v1,2024-03-11 05:56:05
unknown,details-v1,2024-03-11 05:56:05
reviews-v3,ratings-v1,2024-03-11 05:56:05
reviews-v3-5fd56449d8-npw75,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:05
istio-ingressgateway,productpage-v1,2024-03-11 05:56:10
unknown,details-v1,2024-03-11 05:56:10
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-11 05:56:10
reviews-v2,ratings-v1,2024-03-11 05:56:10
reviews-v3,ratings-v1,2024-03-11 05:56:10
productpage-v1,reviews-v2,2024-03-11 05:56:10
productpage-v1-7fb564989f-xslvc,izbp16opgy3xucvexwqp9dz,2024-03-11 05:56:10
